pm25,pm10,no2,o3,so2,co,temp,rhum,wspd,pres,coco,pm25_AQI,pm10_AQI,no2_AQI,o3_AQI,so2_AQI,overall_AQI
29.009375,72.128334,14.614688,93.75,10.625334,904.6875,34.1,52.0,9.3,1005.0,2.0,4.0,4.0,1.0,2.0,1.0,4.0
37.94795,74.12334,12.102619,94.73321,8.041819,971.5476,33.1,58.0,5.4,1005.4,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.49572,90.61697,17.297169,59.085278,13.501981,818.21643,32.2,55.0,5.5,1005.4,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.49572,90.61697,17.297169,59.085278,13.501981,818.21643,31.3,59.0,5.5,1005.8,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.49572,90.61697,17.297169,59.085278,13.501981,818.21643,30.7,69.0,7.6,1005.1,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.49572,90.61697,17.297169,59.085278,13.501981,818.21643,29.8,65.0,5.5,1005.8,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.49572,90.61697,17.297169,59.085278,13.501981,818.21643,29.2,67.0,5.5,1005.5,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.49572,90.61697,17.297169,59.085278,13.501981,818.21643,29.7,72.0,7.6,1005.0,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.49572,90.61697,17.297169,59.085278,13.501981,818.21643,28.2,76.0,7.4,1005.5,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.49572,90.61697,17.297169,59.085278,13.501981,818.21643,27.8,77.0,5.5,1005.8,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.49572,90.61697,17.297169,59.085278,13.501981,818.21643,28.9,73.0,7.6,1006.8,3.0,4.0,4.0,1.0,2.0,1.0,4.0
63.0,90.61697,17.297169,59.085278,14.3,818.21643,28.1,74.0,5.5,1006.7,3.0,5.0,4.0,1.0,2.0,1.0,5.0
60.0,90.61697,17.297169,59.085278,13.515982,818.21643,28.8,71.0,5.5,1007.3,3.0,5.0,4.0,1.0,2.0,1.0,5.0
61.0,90.61697,17.297169,59.085278,13.515982,818.21643,30.5,61.0,7.6,1008.4,3.0,5.0,4.0,1.0,2.0,1.0,5.0
62.0,90.61697,17.297169,59.085278,13.515982,818.21643,31.7,56.0,7.4,1008.3,3.0,5.0,4.0,1.0,2.0,1.0,5.0
62.0,90.61697,17.297169,59.085278,13.515982,818.21643,33.0,51.0,7.4,1008.2,3.0,5.0,4.0,1.0,2.0,1.0,5.0
65.0,90.61697,17.297169,59.085278,13.515982,818.21643,32.9,52.0,11.2,1007.6,3.0,5.0,4.0,1.0,2.0,1.0,5.0
113.0,90.61697,17.297169,59.085278,13.515982,818.21643,34.9,45.0,9.3,1007.1,3.0,6.0,4.0,1.0,2.0,1.0,6.0
103.0,90.61697,17.297169,59.085278,13.515982,818.21643,35.7,43.0,9.3,1006.1,3.0,6.0,4.0,1.0,2.0,1.0,6.0
68.0,90.61697,17.297169,59.085278,13.515982,818.21643,35.7,44.0,9.4,1005.1,3.0,5.0,4.0,1.0,2.0,1.0,5.0
64.0,90.61697,17.297169,59.085278,13.515982,818.21643,35.5,45.0,9.3,1004.5,3.0,5.0,4.0,1.0,2.0,1.0,5.0
57.0,90.61697,17.297169,59.085278,13.515982,818.21643,35.2,46.0,7.4,1003.8,3.0,5.0,4.0,1.0,2.0,1.0,5.0
